nm_place,type_place
石景山爆笑脱口秀--欢啤超市剧场,剧场
昌平区康得大厦,写字楼
海淀区康得大厦,写字楼
笑脱喜剧脱口秀剧场(三里屯店),剧场
爱笑联盟剧场(三里屯SOHO店),剧场
北京喜剧中心,剧场
做書咖啡酒馆,咖啡厅
做書(西单店),书店
做梦酒吧(朝阳大悦城店),酒吧茶馆
坐隐一品茶艺馆,酒吧茶馆
作者画廊,画廊
作幺探案馆(房山店),其他休闲场馆
作品DINING BAR,酒吧茶馆
作家图书发行公司,书店
佐佑瑜伽(王府井店),其他体育场馆
佐佑同行运动馆ZOYO CrossFit,其他体育场馆
佐途国际马术俱乐部,体育俱乐部
佐润茶事·茶空间,酒吧茶馆
佐莫创意珍珠DIY开蚌·绕线·首饰,其他休闲场馆
佐莫(合生广场店),其他休闲场馆
佐罗Zorro Bar,酒吧茶馆
左右美术馆,美术馆
左旋咖啡(隆福寺店),咖啡厅
左旋咖啡(大兴绿地缤纷城店),咖啡厅
左亭右苑民宿,其他休闲场馆
左天艺术空间,
左乐右创steam创客中心,培训机构
左教练乒乓球俱乐部(霍营店),体育俱乐部
左家庄科普廉政文化园,游园
左家庄科普廉政文化公园,其他户外景区
左家庄街道综合文化中心,文化活动中心（街道）
左家庄街道文化服务中心,其他休闲场馆
左家庄街道静安里社区文化活动站,其他休闲场馆
左渡瑜伽(广渠门外店),其他体育场馆
左岸一加文化创意园,产业园区
左岸书咖,咖啡厅
左岸花园五号院,其他休闲场馆
左岸工社,
左岸坊 La Rive Gauche,咖啡厅
左岸.柒尚咖啡厅,咖啡厅
左安西里游园,游园
琢玉广场,城市广场
琢心社·茶·会议·活动,酒吧茶馆
琢荼茶舍(娜丽莎大厦店),酒吧茶馆
琢珹健身,其他体育场馆
昨夜派对·桌游·Bar(丽泽天街店),其他休闲场馆
昨夜派对·桌游·Bar(合生汇店),其他休闲场馆
昨夜派对·桌游·Bar,其他休闲场馆
尊庭 Royal Lounge,咖啡厅
尊凯蒂健身,其他体育场馆
尊瑾美学工坊,其他休闲场馆
醉逸园茶庄(乐园西小区18号院店),酒吧茶馆
醉顽啤Craft Beer·Cocktail BAR,酒吧茶馆
醉陶然茶馆,酒吧茶馆
醉生梦,酒吧茶馆
醉清醒coffee&bar,酒吧茶馆
醉喵精酿·撸猫馆馆,酒吧茶馆
醉梦里淦酒吧,酒吧茶馆
醉猫酒屋,酒吧茶馆
醉咖酒吧,酒吧茶馆
醉红酒社,酒吧茶馆
醉好·咖啡·精酿酒吧,酒吧茶馆
醉嗨啤酒屋,酒吧茶馆
醉春秋养生茶馆,酒吧茶馆
醉初休闲馆,其他休闲场馆
醉半仙,其他休闲场馆
醉·arpanda,酒吧茶馆
最影城,电影院
最美时光,咖啡厅
最爱心意diy蛋糕(银河SOHO店),其他休闲场馆
钻时·Bar,酒吧茶馆
钻石游泳培训俱乐部-工体游泳馆,体育俱乐部
钻河中心,综合商场
钻河中心,综合商场
卒玛石头国际越野公园,其他休闲场馆
足乙轩茶楼,酒吧茶馆
足协元老分会青少年培训中心,培训机构
足享阁健身中心,其他体育场馆
足球赛场地,其他体育场馆
足球篮球馆,其他体育场馆
足球公园,其他体育场馆
足球场地管理处,其他体育场馆
足球场-埃米空间,其他体育场馆
足部修复中心,其他休闲场馆
走月手作(保利店),其他休闲场馆
走月SPACE·活动策划·团建,其他休闲场馆
走进贵州·黔货进京,酒吧茶馆
邹玥艺术工作室,其他休闲场馆
邹阳兵乒,其他体育场馆
纵横马术(顺义店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
纵横马术学院,其他体育场馆
纵横马术(顺义店),其他体育场馆
纵横马术(顺义店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
纵横马术(顺义店),其他体育场馆
纵横马术培训基地(丰台南宫店),其他体育场馆
总部基地金融港北区3,产业园区
总部基地8区9号楼,产业园区
总部基地8区8号楼,产业园区
总部基地8区7号楼,产业园区
总部基地8区6号楼,产业园区
总部基地8区5号楼,产业园区
总部基地8区4号楼,产业园区
总部基地8区21号楼,产业园区
总部基地8区20号楼,产业园区
总部基地8区2,产业园区
总部基地8区1号楼,产业园区
总部基地8区18号楼,产业园区
总部基地8区17号楼,产业园区
总部基地8区16号楼,产业园区
总部基地8区12号楼,产业园区
总部基地8区10号楼,产业园区
总部基地8区,产业园区
总部基地7区8号楼,产业园区
总部基地7区7号楼,产业园区
总部基地7区6号楼,产业园区
总部基地7区5号楼,产业园区
总部基地7区4号楼,产业园区
总部基地7区3号楼,产业园区
总部基地7区29,产业园区
总部基地7区28号楼,产业园区
总部基地7区27号楼,产业园区
总部基地7区26,产业园区
总部基地7区25号楼,产业园区
总部基地7区23号楼,产业园区
总部基地7区22号楼,产业园区
总部基地7区21号楼,产业园区
总部基地7区20号楼,产业园区
总部基地7区1号楼,产业园区
总部基地7区18号楼,产业园区
总部基地7区16号楼,产业园区
总部基地7区14号楼,产业园区
总部基地7区13号楼,产业园区
总部基地7区12号楼,产业园区
总部基地7区11号楼,产业园区
总部基地7区,产业园区
总部基地6区9号楼,产业园区
总部基地6区8号楼,产业园区
总部基地6区7号楼,产业园区
总部基地6区6号楼,产业园区
总部基地6区5号楼,产业园区
总部基地6区4号楼,产业园区
总部基地6区2号楼,产业园区
总部基地6区18号楼,产业园区
总部基地6区17号楼,产业园区
总部基地6区15号楼,产业园区
总部基地6区12号楼,产业园区
总部基地6区10号楼,产业园区
总部基地5区34号楼,产业园区
总部基地5区31号楼,产业园区
总部基地5区13号楼,产业园区
总部基地3区网球场,其他体育场馆
总部基地3区26号楼,产业园区
总部基地3区25号楼,产业园区
总部基地3区24号楼,产业园区
总部基地3区23号楼,产业园区
总部基地3区22号楼,产业园区
总部基地3区20,产业园区
总部基地3区19号楼,产业园区
总部基地3区16号楼,产业园区
总部基地3区15号楼,产业园区
总部基地3区14号楼,产业园区
总部基地3区13号楼,产业园区
总部基地3区12号楼,产业园区
总部基地3区11号楼,产业园区
总部基地3区10号楼,产业园区
总部基地3区,产业园区
总部基地2区4号楼,产业园区
总部基地2区,产业园区
总部基地1区8号楼,产业园区
总部基地1区7号楼,产业园区
总部基地1区6号楼,产业园区
总部基地1区5号楼,产业园区
总部基地1区3号楼,产业园区
总部基地1区27号楼,产业园区
总部基地1区25号楼,产业园区
总部基地1区24号楼,产业园区
总部基地1区23号楼,产业园区
总部基地1区22号楼,产业园区
总部基地1区21号楼,产业园区
总部基地1区20号楼,产业园区
总部基地1区19号楼,产业园区
总部基地1区17号楼,产业园区
总部基地1区16号楼,产业园区
总部基地1区13号楼,产业园区
总部基地1区12号楼,产业园区
总部基地1区11号楼,产业园区
总部基地1区,产业园区
总部基地18区8号楼,产业园区
总部基地18区6号楼,产业园区
总部基地18区2号楼,产业园区
总部基地18区22号楼,产业园区
总部基地18区18号楼,产业园区
总部基地18区16号楼,产业园区
总部基地18区15号楼,产业园区
总部基地18区12号楼,产业园区
总部基地18区11号楼,产业园区
总部基地18区10号楼,产业园区
总部基地18区,产业园区
总部基地17区5号楼,产业园区
总部基地17区12号楼,产业园区
总部基地16区4号楼,产业园区
总部基地·金融港中区,产业园区
总部基地·金融港北区9号楼,产业园区
总部基地·金融港北区8号楼,产业园区
总部基地·金融港北区7号楼,产业园区
总部基地·金融港北区6号楼,产业园区
总部基地·金融港北区5号楼,产业园区
总部基地·金融港北区2号楼,产业园区
总部基地·金融港北区20号楼,产业园区
总部基地·金融港北区1号楼,产业园区
总部基地·金融港北区17号楼,产业园区
总部基地·金融港北区16区20号楼,产业园区
总部基地·金融港北区16区12号楼,产业园区
