nm_place,volume_event
333剧场,120
365剧场-天通苑文化艺术中心,500
751新文化艺术中心,5
751秀剧场,600
751园区,120
77文创园剧场,200
798CUBE,300
798艺术区七星东街E03GALLERY,100
798艺术中心-遇见博物馆,800
813文化创意产业园,10
A33剧场,330
AAE国际艺术教育,12
AENEA Gallery,50
BAR PAPER RABBIT折纸兔,20
Blue Note Beijing 爵士乐俱乐部,300
BOSS LOUNGE茶馆(望京店),12
CANSPACE(朗园VINTAGE店),80
CGV影城(颐堤港店),195
Class果岭里小区,10
COSTACOFFEE(北辰购物中心北苑店),50
English Speaking/Toastmasters Club,20
HANMO艺术中心,100
IMAGINE 想象空间,243
IOMA爱马思艺术中心,300
JoinYin-联和印学院茶,50
Little BIG City 大城小像·北京,50
MAO Livehouse北京,800
metaclub沉浸式娱乐空间,50
MonkeyCUP Cafe&Bar,15
NEST巢空间,50
OMIN CLUB,243
Page One(北京坊店),60
PAGEONE(五道口店),120
RE睿·国际创忆馆,300
Second Whisky&Cocktail(中骏世界城店),30
SKP-S,5
SOHO现代城,10
SOLANA蓝色港湾,300
STAGE ONE Whisky&Cocktail,150
teamLab无相艺术空间,800
today艺术空间,5
Tribute Pub·致敬酒吧,80
U2美术馆(朝阳大悦城店),800
UCCA尤伦斯当代艺术中心,800
UME影城(北京富力广场购物中心),100
UTOU DEMO 2022优投,50
VICS酒吧,300
WeShow Live,300
X 美术馆,50
yyds脱口秀-国贸CBD店,80
阿斯牛牛四川凉山菜(三里屯店),50
爱乐汇艺术空间,243
爱射箭武库体验店,10
爱笑联盟剧场(三里屯SOHO店),200
奥加美术馆,180
奥森羽毛球篮球馆,12
奥芝驿站,10
保利创造力小剧场,200
保利国际影城(天安门店),370
保利国际影城(天安门店)8号厅,370
保利国际影城北京凯德大峡谷店1号厅,200
保利国际影城缤纷城店1号厅,200
保利剧院,1428
北宫国家森林公园,100
北京798艺术区铅笔艺术空间,30
北京HEAVEN CLUB (天堂工体店),1000
北京奥雅观宸Dolive,300
北京大得艺术馆,300
北京电影学院文创园五只猫娱乐Mall,150
北京动物园,100
北京逗牛探案推理馆(银河Soho B座底商20115),20
北京杜莎夫人蜡像馆,10
北京法国文化中心,40
北京烽芒-缘寄大明-沉浸式实景交互游戏剧场,6
北京工艺美术博物馆,5000
北京古代建筑博物馆,10
北京鼓楼西剧场,262
北京广州十三行博物馆,50
北京国话先锋剧场,320
北京国际会议中心,250
北京国际戏剧中心,700
北京嗨皮喜剧,150
北京海淀公园,10
北京海淀剧院,550
